Optimizer,objfname,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50
SSA,F7,0.9202191829681396,0.0,13.948887928447899,3.2958101171240983,1.7881847439436556,1.7881847439436556,1.5848996816833343,1.3308880546923616,0.8015044404379381,0.8015044404379381,0.710113300176714,0.710113300176714,0.6578476099684535,0.6578476099684535,0.6578476099684535,0.6578476099684535,0.6578476099684535,0.6578476099684535,0.6578476099684535,0.6578476099684535,0.6578476099684535,0.6578476099684535,0.6578476099684535,0.6578476099684535,0.6578476099684535,0.46609576081426946,0.46609576081426946,0.384991546676592,0.384991546676592,0.37867538763776865,0.37867538763776865,0.37867538763776865,0.37867538763776865,0.37867538763776865,0.37867538763776865,0.37867538763776865,0.37867538763776865,0.37479268288230455,0.37479268288230455,0.37479268288230455,0.37479268288230455,0.37479268288230455,0.37479268288230455,0.3685900621468016,0.3685900621468016,0.3685900621468016,0.3685900621468016,0.3685900621468016,0.3685900621468016,0.3685900621468016,0.3685900621468016
SSA,F7,0.921006441116333,0.0,11.634074777108356,6.276895051806659,3.112233128244002,2.0750216624794278,1.8433753259804135,1.8433753259804135,1.3170986242067944,1.3170986242067944,1.3170986242067944,1.3170986242067944,1.2471844132452155,1.0405319908323922,0.9687106817709473,0.9687106817709473,0.9407529296177968,0.9407529296177968,0.9407529296177968,0.9407529296177968,0.9407529296177968,0.9407529296177968,0.9407529296177968,0.9407529296177968,0.9407529296177968,0.856129917992336,0.8208925601884128,0.8208925601884128,0.8208925601884128,0.8208925601884128,0.7851137250238629,0.7851137250238629,0.7851137250238629,0.7851137250238629,0.7851137250238629,0.7811061824835381,0.7811061824835381,0.7811061824835381,0.7811061824835381,0.7811061824835381,0.7811061824835381,0.7811061824835381,0.7811061824835381,0.7811061824835381,0.7811061824835381,0.7811061824835381,0.7811061824835381,0.7811061824835381,0.7811061824835381,0.7811061824835381,0.7811061824835381
SSA,F7,0.9190783500671387,0.0,15.783076097147594,3.843350925123283,3.531471598788664,2.350504923720063,2.350504923720063,1.4910079935963725,1.4910079935963725,1.4910079935963725,1.3420805651710581,1.3420805651710581,1.3420805651710581,1.3420805651710581,1.3420805651710581,1.3420805651710581,1.3420805651710581,1.3420805651710581,1.3420805651710581,1.3420805651710581,1.3420805651710581,1.1821545111134295,0.7322937253425634,0.5869244132618621,0.5869244132618621,0.3289076005948776,0.3289076005948776,0.3289076005948776,0.3289076005948776,0.3289076005948776,0.3289076005948776,0.3289076005948776,0.3289076005948776,0.3289076005948776,0.3289076005948776,0.3289076005948776,0.3289076005948776,0.3289076005948776,0.3289076005948776,0.3289076005948776,0.3289076005948776,0.3289076005948776,0.3289076005948776,0.3289076005948776,0.3289076005948776,0.3289076005948776,0.3289076005948776,0.3289076005948776,0.3289076005948776,0.3289076005948776,0.3289076005948776
SSA,F7,0.9204363822937012,0.0,16.186857633506026,7.511014449589639,4.685161575532213,4.279112599062999,3.6659610050511824,3.6659610050511824,3.526457323224757,3.3366622403986934,3.24409742170877,2.7554198562683974,2.7554198562683974,2.659369872335733,2.4812561936191457,2.400853153651717,2.400853153651717,2.400853153651717,2.400853153651717,2.400853153651717,2.400853153651717,1.955127403025307,1.7746083842256266,1.552689855965331,1.2930204093806807,1.0504639718502427,0.8479812550851448,0.7909752439192684,0.675308352888506,0.675308352888506,0.6497095981287887,0.6497095981287887,0.6472269248764057,0.6472269248764057,0.6472269248764057,0.6472269248764057,0.6390652999383157,0.6390652999383157,0.6390652999383157,0.6390652999383157,0.6390652999383157,0.6390652999383157,0.6390652999383157,0.6390652999383157,0.6390652999383157,0.6390652999383157,0.6390652999383157,0.6390652999383157,0.6390652999383157,0.6390652999383157,0.6390652999383157
SSA,F7,0.9199721813201904,0.0,12.367840292610268,6.675497511726157,4.16467849751119,4.16467849751119,4.16467849751119,4.16467849751119,4.16467849751119,4.16467849751119,4.16467849751119,4.16467849751119,4.16467849751119,4.16467849751119,4.16467849751119,4.16467849751119,4.16467849751119,4.16467849751119,4.16467849751119,3.4955968270087943,3.4955968270087943,2.5745160207676796,1.7998624815535038,1.6810223080005968,1.3318332596647795,1.0363396220504395,0.9604810759575383,0.9604810759575383,0.9604810759575383,0.9604810759575383,0.9604810759575383,0.9604810759575383,0.9604810759575383,0.9265981752095497,0.9225246377257587,0.9225246377257587,0.9225246377257587,0.9225246377257587,0.9225246377257587,0.9225246377257587,0.9225246377257587,0.9225246377257587,0.9225091913972974,0.9118834257959327,0.9118834257959327,0.9118834257959327,0.9118834257959327,0.9118834257959327,0.8997437185847182,0.8997437185847182,0.8997437185847182
SSA,F7,0.9284331798553467,0.0,18.293116822093765,5.25764881527005,3.685918761475581,2.595163786936646,1.7161591462758454,1.1653819159750207,1.1563282696198798,0.7503195015745331,0.7503195015745331,0.7503195015745331,0.5128556262883988,0.5128556262883988,0.5092987672269912,0.5092987672269912,0.5092987672269912,0.5024020889951253,0.5024020889951253,0.5024020889951253,0.5024020889951253,0.4835720139190373,0.4835720139190373,0.33059580228801067,0.22864151804937322,0.19206477654905718,0.16613836494103298,0.16613836494103298,0.16613836494103298,0.16058862953852898,0.16058862953852898,0.16058862953852898,0.16058862953852898,0.16058862953852898,0.16058862953852898,0.16058862953852898,0.16058862953852898,0.1601777395136091,0.1601777395136091,0.1578638598179845,0.1578638598179845,0.1578638598179845,0.1578638598179845,0.1578638598179845,0.1578638598179845,0.1578638598179845,0.1578638598179845,0.1578638598179845,0.14920395442943518,0.14920395442943518,0.14920395442943518
SSA,F7,0.9151279926300049,0.0,19.953674185317965,7.699928425857739,5.345292519229399,3.876779791930412,3.0609144124559005,2.5072343865131237,2.2688478550667313,2.0766396109350627,1.830231105295363,1.592181489052647,1.5554811026354014,1.3409321284165618,1.3409321284165618,1.3409321284165618,1.3409321284165618,1.3409321284165618,1.3409321284165618,1.3409321284165618,1.3409321284165618,1.2509757533444983,1.2509757533444983,1.23707307332691,1.0589977558010963,0.5883207565996741,0.5883207565996741,0.5883207565996741,0.5883207565996741,0.5293457752989383,0.5247296014413734,0.4486588038208008,0.41927264582106183,0.41927264582106183,0.41927264582106183,0.41927264582106183,0.41927264582106183,0.41927264582106183,0.41927264582106183,0.41927264582106183,0.41927264582106183,0.41927264582106183,0.41927264582106183,0.41927264582106183,0.41927264582106183,0.41927264582106183,0.41927264582106183,0.41927264582106183,0.41927264582106183,0.41927264582106183,0.41927264582106183
SSA,F7,0.9240052700042725,0.0,9.818856794741148,7.0461235887651394,5.053416382013968,3.757553119349443,3.293059017192328,2.921279775557165,2.41433184813636,2.015508776780907,1.9501932454776298,1.819239854196658,1.6545091495267705,1.5494049770491514,1.5494049770491514,1.4830133920108084,1.4830133920108084,1.3781226865769773,1.332946872632533,1.332946872632533,1.019402678759731,1.0114259144403315,1.0114259144403315,0.7377876934343226,0.7377876934343226,0.7377876934343226,0.7232650876874789,0.5717530144825195,0.5321681852235176,0.4728057032513453,0.4626449484728092,0.4626449484728092,0.4626449484728092,0.4626449484728092,0.4626449484728092,0.4626449484728092,0.4626449484728092,0.4626449484728092,0.4626449484728092,0.4626449484728092,0.4626449484728092,0.4626449484728092,0.4626449484728092,0.4626449484728092,0.4626449484728092,0.460500907371597,0.460500907371597,0.460500907371597,0.460500907371597,0.460500907371597,0.460500907371597
SSA,F7,0.917783260345459,0.0,24.532145235355472,7.297722045932199,3.4576792996853327,3.448666321476567,3.097482688875207,3.097482688875207,2.8429739233878357,2.701791176353889,2.701791176353889,2.4959776503779394,2.4959776503779394,2.459369824197541,2.459369824197541,2.134354044399524,2.134354044399524,2.134354044399524,2.134354044399524,2.134354044399524,1.5903221605609055,0.9176299086993172,0.9176299086993172,0.9176299086993172,0.7198765658781879,0.714954826615938,0.7053115772370221,0.5794232401413723,0.5515115538929997,0.5515115538929997,0.5515115538929997,0.5515115538929997,0.5515115538929997,0.5515115538929997,0.5515115538929997,0.5383964261345605,0.5370021309402496,0.5237531726615692,0.5237531726615692,0.5236171122410569,0.5236171122410569,0.5236171122410569,0.5236171122410569,0.5236171122410569,0.5236171122410569,0.5220895407443825,0.5220895407443825,0.5220895407443825,0.5220895407443825,0.521262909056424,0.5207668887311357
SSA,F7,0.9331600666046143,0.0,9.481130641703482,3.627208800987856,1.6449123183867136,1.6211008277387902,1.0429314932351463,1.0429314932351463,0.8901931587908993,0.8901931587908993,0.8901931587908993,0.8901931587908993,0.8901931587908993,0.6871075220800675,0.6871075220800675,0.6871075220800675,0.6871075220800675,0.6871075220800675,0.6871075220800675,0.6871075220800675,0.6871075220800675,0.6871075220800675,0.6871075220800675,0.6871075220800675,0.6871075220800675,0.6715157980867353,0.6494828534531502,0.6494828534531502,0.6494828534531502,0.6299318900032568,0.6243411964019906,0.6243411964019906,0.5965541330727939,0.5965541330727939,0.5957453580307718,0.5957453580307718,0.5957453580307718,0.5957453580307718,0.5957453580307718,0.5934176947476104,0.5934176947476104,0.5934176947476104,0.5934176947476104,0.5934176947476104,0.5927525011319718,0.5927525011319718,0.5927525011319718,0.5927525011319718,0.5927525011319718,0.5927525011319718,0.5927525011319718
